customer_id,full_name,date_of_birth,gender,pan_number,email,phone,city,state,pincode,kyc_status,segment,relationship_start_dt,risk_category
CUST0001,Customer 1,24-01-1972,M,ABCDE4657F,customer1@example.com,9249827706,Hyderabad,Karnataka,577393,VERIFIED,Retail,20-09-2022,LOW
CUST0002,Customer 2,03-01-1967,M,ABCDE9279F,customer2@example.com,9746412689,Mumbai,West Bengal,452125,VERIFIED,HNI,09-05-2023,LOW
CUST0003,Customer 3,09-10-1993,M,ABCDE3615F,customer3@example.com,9849621470,Chennai,Telangana,472843,VERIFIED,Corporate,22-09-2016,LOW
CUST0004,Customer 4,04-07-1970,F,ABCDE5333F,customer4@example.com,9966647391,Mumbai,Punjab,540569,VERIFIED,Corporate,11-10-2021,LOW
CUST0005,Customer 5,20-11-1983,M,ABCDE2139F,customer5@example.com,9149203558,Hyderabad,Tamil Nadu,475862,REJECTED,HNI,30-09-2021,MEDIUM
CUST0006,Customer 6,15-05-1989,F,ABCDE3664F,customer6@example.com,9497478786,Delhi,Tamil Nadu,575683,VERIFIED,Corporate,04-09-2018,MEDIUM
CUST0007,Customer 7,24-09-1975,M,ABCDE8573F,customer7@example.com,9507437181,Delhi,West Bengal,457571,VERIFIED,HNI,22-01-2023,MEDIUM
CUST0008,Customer 8,26-01-1979,F,ABCDE5386F,customer8@example.com,9171069472,Bangalore,Rajasthan,588197,VERIFIED,Retail,07-04-2022,LOW
CUST0009,Customer 9,09-03-1994,M,ABCDE9830F,customer9@example.com,9382116655,Hyderabad,Rajasthan,512312,PENDING,Retail,28-03-2024,LOW
CUST0010,Customer 10,16-09-1973,M,ABCDE2796F,customer10@example.com,9264112119,Hyderabad,Delhi,578385,VERIFIED,Retail,13-10-2024,LOW
CUST0011,Customer 11,09-09-1994,M,ABCDE2876F,customer11@example.com,9831980933,Pune,Gujarat,568025,VERIFIED,Retail,07-08-2019,LOW
CUST0012,Customer 12,24-12-1965,M,ABCDE9317F,customer12@example.com,9214257751,Hyderabad,Gujarat,567497,VERIFIED,Retail,07-11-2022,LOW
CUST0013,Customer 13,25-09-1975,M,ABCDE6310F,customer13@example.com,9624636385,Mumbai,Karnataka,495154,PENDING,HNI,09-11-2019,LOW
CUST0014,Customer 14,19-04-1968,M,ABCDE8962F,customer14@example.com,9976198296,Mumbai,West Bengal,432968,VERIFIED,Retail,02-12-2024,LOW
CUST0015,Customer 15,28-09-1981,F,ABCDE4470F,customer15@example.com,9679064766,Hyderabad,Tamil Nadu,586896,VERIFIED,Corporate,01-01-2019,MEDIUM
CUST0016,Customer 16,15-09-1993,M,ABCDE4681F,customer16@example.com,9168747287,Delhi,Maharashtra,554222,VERIFIED,Retail,12-06-2024,LOW
CUST0017,Customer 17,03-04-1968,F,ABCDE2160F,customer17@example.com,9652070932,Bangalore,Gujarat,575369,VERIFIED,Retail,14-06-2025,MEDIUM
CUST0018,Customer 18,26-04-1995,F,ABCDE4119F,customer18@example.com,9201281557,Mumbai,UP,492877,VERIFIED,Retail,01-07-2020,MEDIUM
CUST0019,Customer 19,13-01-1971,F,ABCDE2790F,customer19@example.com,9366992705,Bangalore,Tamil Nadu,540585,VERIFIED,Retail,21-08-2017,LOW
CUST0020,Customer 20,15-02-1980,M,ABCDE1828F,customer20@example.com,9800235246,Pune,Maharashtra,424449,PENDING,HNI,28-09-2016,LOW
CUST0021,Customer 21,07-08-1996,M,ABCDE3697F,customer21@example.com,9506919288,Mumbai,UP,469522,PENDING,HNI,22-04-2021,LOW
CUST0022,Customer 22,23-11-2000,M,ABCDE4111F,customer22@example.com,9418587604,Bangalore,Maharashtra,551829,VERIFIED,Retail,06-05-2020,LOW
CUST0023,Customer 23,16-10-1968,M,ABCDE1931F,customer23@example.com,9645276696,Mumbai,Delhi,417963,VERIFIED,Retail,01-03-2020,LOW
CUST0024,Customer 24,08-10-1972,M,ABCDE2343F,customer24@example.com,9550139320,Hyderabad,Rajasthan,548171,VERIFIED,Corporate,24-04-2019,LOW
CUST0025,Customer 25,09-04-1985,M,ABCDE5915F,customer25@example.com,9590941149,Delhi,Karnataka,402442,VERIFIED,Corporate,13-05-2021,HIGH
CUST0026,Customer 26,07-09-1969,F,ABCDE3170F,customer26@example.com,9474745382,Mumbai,Tamil Nadu,496870,VERIFIED,Retail,17-02-2020,LOW
CUST0027,Customer 27,26-10-1984,M,ABCDE5905F,customer27@example.com,9812308209,Mumbai,Delhi,469329,VERIFIED,Retail,21-06-2018,LOW
CUST0028,Customer 28,20-05-1982,F,ABCDE4335F,customer28@example.com,9838194420,Hyderabad,Gujarat,532490,VERIFIED,Corporate,11-06-2023,MEDIUM
CUST0029,Customer 29,14-11-1970,F,ABCDE1722F,customer29@example.com,9103807155,Delhi,Delhi,567016,REJECTED,Retail,02-07-2016,LOW
